id,firstname,lastname,age,gpa
e2e1db72-9827-41bb-bc12-3de8c0a421e1,Natty,Vanyushin,34,3.51
6f929d7a-a1de-4e6c-a51b-d79e6af0bf34,Rebeca,Landsman,60,3.09
5a00c2bf-4973-49ca-99d0-ba0213fe1ff8,Frankie,Djorvic,31,3.37
42bdcd93-3919-496a-8599-c406f020b266,Duffy,Marfell,30,2.49
4d8ac6c4-7514-48e3-a058-0aa718ad5716,Josey,Santoro,29,2.19
7be5d09e-e82c-4a28-b423-09a9fe47be3d,Desi,Brydon,23,3.2
faf0eb41-1465-4576-91f2-661846c38b88,Opal,Bikker,22,2.66
bdd82ec5-8ea7-455e-9363-ee1412502681,Feodora,Jack,41,2.62
2c94be56-9ece-41b4-852e-7dd25ff2ca2a,Andonis,Callacher,50,3.88
3d2c3b49-4c6a-4f5e-8297-0b0afe3baa1e,Dolph,Wandrach,25,2.7
fdbba9cd-7f6f-493b-bc79-aef06124f66f,Marcellus,Ranklin,27,2.62
f0385eb8-39e8-4563-b3d3-70f07c0e2dcf,Grace,Boxer,37,2.28
ff6a58e0-e122-46f7-ab84-9ea56721dce3,Sax,Formie,49,3.63
b5bd006b-960a-4db1-8f5e-047ed38c8332,Haleigh,Batchan,22,3.44
4946667f-994f-40a1-9495-e0084e50926f,Dorey,Hellwig,31,3.09
3adb84c4-b5a4-4bef-b68a-c3c5f036ae7a,Marijn,Keary,43,3.11
5ce026ef-d216-462f-b0c5-c9fa88ebba9e,Myrle,Collymore,53,2.73
69cdcc81-f920-4a96-9832-7518487e58fb,Garry,Skyram,54,3.17
333a51f5-93b7-4d7b-9300-bedb23492fc6,Tally,Mill,26,2.61
dd078d5d-a292-4336-85dc-b14489ffe600,Napoleon,Jarman,48,2.36
f7957e9a-5655-461c-8d33-b6b89b9fb8bd,Scarlet,Stothert,33,3.99
a996b900-e31d-42cd-96af-7d6b6ac2b459,Felike,Landeg,51,3.06
3f3c1d40-c428-4f17-8bee-33a2b86de545,Beverley,Fargie,25,2.93
d6607c1b-ee07-4f7d-8576-1acf1a65e222,Anna-maria,Gun,60,2.64
2bca6019-b96f-4cd7-8e2c-03e6d82c8c29,Nollie,Lindmark,45,3.43
43ebf0c6-c041-4e4e-94cb-9762208f6591,Aguistin,Tofpik,37,3.62
df83b321-8838-45bc-ae57-b3c9cd66eead,Susette,Corney,32,2.82
b25dc9f4-13e7-4fbe-8d02-a5afcffde0f3,Drew,Reeks,44,3.3
b7e39198-43d9-4ab3-8692-565eedf6356d,Isahella,Broggelli,18,3.45
476263a8-9493-4a20-9288-3b70e2c65c8b,Otes,Tieraney,23,3.48
d38eec9d-0d27-4a04-b5c6-70c86d7b6717,Jacob,Jermin,44,3.39
60ff1545-36a3-4bd9-9b94-7b670665de4d,Byron,Grigorey,31,3.36
8c93c3a7-3aca-4852-8789-e4122c655766,Jada,Sollam,59,2.16
1a917238-fa18-42b4-9dfd-1469436c2b4e,Hilton,Malicki,42,2.68
760b67ce-b512-4e50-9bc8-c17a744cf7e2,Lawry,Poone,60,2
cde76712-6795-4ae8-8d33-f5cabdfe401a,Christabella,Mickleborough,25,3.04
1d29df1a-03c6-4084-b143-2b0a06b30280,Zorine,Erie,50,3.15
96278b37-9f79-4f57-9b09-0af2fe16107b,Emmett,Hembry,60,3.45
8b7fefaf-28be-4cbc-9c45-ef494d195a01,Genia,Pygott,21,2.07
af037025-9ae6-400a-9d5d-fadcd1af79d4,Gisela,McVitty,51,2.29
5c959c1e-ff63-41c9-8d80-e205025cf691,Bev,Sicha,19,3.44
b4e0d39e-707f-4851-a2e7-71c57cbeb3c0,Emery,Ronaghan,58,3.36
028699ee-cb98-4e22-b8a8-3ab564744f1b,Tammie,McCarle,36,2.13
efd86c16-a376-491a-9bef-fc3a71823c94,Winnah,Linfield,43,3.41
4be12692-0767-453f-836f-918086213d3e,Agatha,Larvent,18,2.25
5b8f6e40-3aef-4c71-8f4f-3c03324cbe1c,Lorie,O'Carroll,47,3.9
0613149a-26fc-43c2-a63d-a1dc616901c0,Bidget,Josland,29,2.03
